Num;"Date ouverture";"Resp ouverture";"Date saisie";"Respsaisie";Date r_solution;"Resp r_solution";Diff Open close;Mois;"Ncmde";"N≠ Facture";"Total net facture";Montant Net _ cr_diter;N client;"Cat_gorie client ";"D_nominationclient";Ref client;N≠bon retour;Identif. classement;N≠ fax client;N≠ tel  client;"Causelitige";Dep cause ltige;Description litige;;Nom du d_l_gue;Marque;Nom encodeuse;"Codearticle";D_nomination article;"Quantit_Produits";Description litige;Departement 1;Date action 1;Description 1;Check 1;Departement 2;Date action 2;Description 2;Check2;Close date;Check;Contr_le logistique ;Extra info;N≠ note de cr_dit;"Nouvellefacture";Code solution;"Date Relanc_";NCR MED NOMBRE;Dossier d_gat ;Ref dossier d_gats;Info NC transporteur 
2476;9/07/14;AUDREY;7/08/14;AUDREY;7/08/14;AUDREY;cloture;2014/07;30020124;362052;162,61;162,61;45246;3. PHARMA;PCIE PARC ASTRID (DYNAP246);;;P PH;0032/25222505;0032/25233576;1. Trop peu - faire suivre;Transport;Cde entière;1. Trop peu - faire suivreTransportCde entière;NADINE GRILLMAIER;DUCRAY - A-DERMA;ELECTRONIQUE;PLUSIEURS;0;;;Transp;8/08/14;V_rification sur le site + mail;7/08/14;Transp;9/08/14;Colis localis_ - relivraison / perdu - NC T7 + T1;7/08/14;#VALUE!;;;CLIENT RECU LA CDE AVENEDU CL 720050 - MIS EN RAYON CAR ENL PAS FAIT DEPUIS DEBUT 07/2014- MAIL A SBO ET EV 17/09EP;40001806;30021858;7. Commande _ 100%;;;;;
2477;7/08/14;ENZA;7/08/14;ENZA;18/09/14;IMAN;cloture;2014/08;30012937-4;364062;12,21;12,21;8594;2;PCIE SERVAIS CORBAIS;;201400466;S PH;0; ;4. Excès - Cr_diter - enlevement;Commercial;Erreur client;4. Excès - Cr_diter - enlevementCommercialErreur client;ERIC SPELTINCKX;KLORANE;ELECTRONIQUE;515364;K-SHP AMANDE 200ML;3;;ADV;8/08/14;Facturation des produits livr_s en trop T1;7/08/14;Transp;8/08/14;Demande enlèvement transporteur;;20/08/14;;4/sep;DEMANDE REPRISE RAL LIVRE TROP TARD;40002116;;13. NC voir retour stock;;;;;
2478;7/08/14;ENZA;7/08/14;ENZA;18/09/14;IMAN;cloture;2014/08;30021830;364148;694,71;100,73;4010049;F;HERVE LE COIFFEUR;;201400467;H COIFF;0; ;4. Excès - Cr_diter - enlevement;Commercial;Erreur encodage;4. Excès - Cr_diter - enlevementCommercialErreur encodage;RIANNE BROUWER;FURTERER;ELECTRONIQUE;521589;F-TRIPHAS 8FLC 14;3;;ADV;8/08/14;Facturation des produits livr_s en trop T1;7/08/14;Transp;8/08/14;Demande enlèvement transporteur;;20/08/14;;4/sep;CDE RF 80 RECU TRIPHASIC // RAPPEL ENLEVEMENT TRANSPORTEUR LE 28/08/14;40002115;;13. NC voir retour stock;;;;;
2479;7/08/14;ENZA;7/08/14;ENZA;7/08/14;ENZA;cloture;2014/08;30021641;364019;559,74;;3711;3. PHARMA;PCIE VERSE;;;V PH; ;0032/25120282;1. Trop peu - faire suivre;Picking;Produit;1. Trop peu - faire suivrePickingProduit;LOTTE LEPAGE;AVENE;ELECTRONIQUE;PLUSIEURS;0;5;;ADV;8/08/14;Cde +/- et refact T1 des produits livr_ en trop;7/08/14;Transp;8/08/14;Demande enlèvement transporteur;7/08/14;20/08/14;7/08/14;;MANCO DANS LA LIV;;30022032-1;4. Nvlle cmde + NC;;;;;
2480;7/08/14;ENZA;7/08/14;ENZA;7/08/14;ENZA;cloture;2014/08;30017236-4;363974;38,8;;9960;3. PHARMA;DE VOORZORG CVBA;;;D GRO;0032/11242474;0032/11263453;1. Trop peu - faire suivre;Picking;Produit;1. Trop peu - faire suivrePickingProduit;THIERRY DELHALLE;DUCRAY - A-DERMA;ELECTRONIQUE;649730;C-CYTELIUM  SPRAY  100 ML;3;;ADV;8/08/14;Cde +/- et refact T1 des produits livr_ en trop;7/08/14;Transp;8/08/14;Demande enlèvement transporteur;7/08/14;20/08/14;7/08/14;;MANCO A LA LIVRAISON;;30022033-1;4. Nvlle cmde + NC;;;;;
2481;8/08/14;ENZA;8/08/14;ENZA;8/08/14;ENZA;cloture;2014/08;30019795-1;361812;283,47;;6565;3. PHARMA;PHARMALIA;;;P PH; ;0032/27332646;1. Trop peu - faire suivre;Picking;Produit;1. Trop peu - faire suivrePickingProduit;PATRICIA DUPONT;AVENE;ELECTRONIQUE;523472;A-HYDRA OPT SERUM 30ML;2;;ADV;9/08/14;Cde +/- et refact T1 des produits livr_ en trop;8/08/14;Transp;9/08/14;Demande enlèvement transporteur;8/08/14;21/08/14;8/08/14;;MANCO A LA LIVRAISON;;30022068-1;4. Nvlle cmde + NC;;;;;
2482;7/08/14;AUDREY;8/08/14;AUDREY;8/08/14;AUDREY;cloture;2014/08;30021770;364093;562,55;645.176,00;1712;3. PHARMA;PCIE DECLERCQ MC  (IASIS);;;D PH;0032/23959550;0032/23957203;1. Trop peu - faire suivre;Picking;Produit;1. Trop peu - faire suivrePickingProduit;THOMAS CISTRIANI;FURTERER;ELECTRONIQUE;645176;F-MELAL SHP PELL GRAS 150;3;;ADV;9/08/14;Cde +/- et refact T1 des produits livr_ en trop;8/09/14;Transp;9/08/14;Demande enlèvement transporteur;;21/08/14;8/08/14;;MANCO A LA LIVRAIZON;;30022078;4. Nvlle cmde + NC;;;;;
2483;19/06/14;JONATHAN;11/08/14;JONATHAN;9/10/14;AUDREY;cloture;2014/06;30018233;359922;1.273,95;72,8;1893;3. PHARMA;PCIE SOTIAUX SA;;201400468;S PH;0; ;4. Excès - Cr_diter - enlevement;ADV;Erreur encodage;4. Excès - Cr_diter - enlevementADVErreur encodage;DAMIEN PRANGER;AVENE;ELECTRONIQUE;648845;A-CICALF CR 40 ML FH;108;;ADV;12/08/14;Facturation des produits livr_s en trop T1;10/09/14;Transp;12/08/14;Demande enlèvement transporteur;;24/08/14;;25/sep;;40002339;;13. NC voir retour stock;;;;;
2484;28/07/14;AMINA;11/08/14;AMINA;11/08/14;AMINA;cloture;2014/07;30021287;363385;320,65;0;5042;3. PHARMA;PCIE VERDINNE;/;;V PH;0032/71474811;0032/71360591;1. Trop peu - faire suivre;Commercial;Encodage;1. Trop peu - faire suivreCommercialEncodage;THOMAS CISTRIANI;;ELECTRONIQUE;PLUSIEURS;0;6;;ADV;12/08/14;Nvlle cmde T1 ;11/08/14;Transp;12/08/14;Demande enlèvement transporteur + NC T8 ou destruction (MF);11/08/14;24/08/14;11/08/14;;MANCO A LA LIVRAISON;;30022139;8. Nvlle cmde ;11/08/14;;;;
2485;5/08/14;AMINA;11/08/14;AMINA;11/08/14;AMINA;cloture;2014/08;30020222;;;;4428;3. PHARMA;PCIE LETROYE J-M;;;L PH;.;0032/81221990;1. Trop peu - faire suivre;Transport;Colis manquant;1. Trop peu - faire suivreTransportColis manquant;ANNA SECCHI;AVENE;ELECTRONIQUE;PLUSIEURS;0;3;;Transp;12/08/14;V_rification sur le site + mail;11/08/14;ADV;13/08/14;Colis localis_ - relivraison / perdu - NC T7 + T1;;#VALUE!;;;;;30022142;7. Commande _ 100%;11/08/14;;;;
2486;12/08/14;ENZA;12/08/14;ENZA;;;87;2014/08;RETOUR PERIMES;;;;1076;3. PHARMA;GROUPE MULTIPHARMA;;201400469;M GRO;0; ;5. P_rim_s;Commercial;Demande de reprise;5. P_rim_sCommercialDemande de reprise;GROSSISTE;N/A;;511314;A-DEPIG CR RICH 30ML;15;;Transp;13/08/14;Demande enlèvement transporteur;12/08/14;ADV;13/08/14;Etablir NC T8 entrepot 17;12/08/14;25/08/14;;4/sep;DEMANDE RETOUR PERIMES + NC ACCORD SBO;;;2. NC sans r_int_gration;;;;;
2487;12/08/14;ENZA;12/08/14;ENZA;12/09/14;ENZA;cloture;2014/08;30021627;363723;34.110,75;8.208,00;1076;2;GROUPE MULTIPHARMA;;201400470;M GRO;0; ;4. Excès - Cr_diter - enlevement;ADV;Erreur encodage;4. Excès - Cr_diter - enlevementADVErreur encodage;GROSSISTE;N/A;;524428;A-CLEAN EXPERT 40ML;1200;;ADV;13/08/14;Facturation des produits livr_s en trop T1;12/08/14;Transp;13/08/14;Demande enlèvement transporteur;12/08/14;25/08/14;12/09/14;12/sep;CLIENT CDE CLEAN EXPERT PROMO ;0040002084-8;0030022189-1;13. NC voir retour stock;;;;;
2488;12/08/14;ENZA;12/08/14;ENZA;18/09/14;IMAN;cloture;2014/08;30020208;362151;376,62;376,62;4543;2;PCIE COLLART;;201400471;C PH;0; ;4. Excès - Cr_diter - enlevement;Commercial;Erreur encodage;4. Excès - Cr_diter - enlevementCommercialErreur encodage;PATRICIA DUPONT;AVENE;ELECTRONIQUE;PLUSIEURS;PLUSIEURS;;;ADV;13/08/14;Facturation des produits livr_s en trop T1;12/08/14;Transp;13/08/14;Demande enlèvement transporteur;;25/08/14;;4/sep;RECU CDE EN DOUBLE RETOUR + NC A FAIRE;40002113;;13. NC voir retour stock;;;;;
2489;12/08/14;ENZA;12/08/14;ENZA;11/09/14;JONATHAN;cloture;2014/08;30021146;363213;1.199,93;20,59;10094;2;PCIE DE LA GARE;;201400472;D PH;0; ;1. Trop peu - faire suivre;Commercial;Encodage;1. Trop peu - faire suivreCommercialEncodage;REGINE BOUSSON;DUCRAY - A-DERMA;ELECTRONIQUE;517871;C-DERMALIB+ GEL MOUS250;3;;ADV;13/08/14;Nvlle cmde T1 ;12/08/14;Transp;13/08/14;Demande enlèvement transporteur + NC T8 ou destruction (MF);12/08/14;25/08/14;;4/sep;CDE DERMALIBOUR CR MAIS RECU GEL MOUS-RETOUR + NC + NELLE CDE;;0030022188-1;8. Nvlle cmde ;;;;;
2490;12/08/14;ENZA;13/08/14;ENZA;13/08/14;ENZA;cloture;2014/08;30020645;362576;423,44;;4829;3. PHARMA;PHARDA;;;P PH; ;0032/71321319;1. Trop peu - faire suivre;Picking;Produit;1. Trop peu - faire suivrePickingProduit;ERIC SPELTINCKX;KLORANE;ELECTRONIQUE;PLUSIEURS;0;10;;ADV;14/08/14;Cde +/- et refact T1 des produits livr_ en trop;13/08/14;Transp;14/08/14;Demande enlèvement transporteur;13/08/14;26/08/14;;;MANQUANT A LA LIVRAISON;;0030022265-1;4. Nvlle cmde + NC;;;;;
2491;11/08/14;ENZA;13/08/14;ENZA;13/08/14;ENZA;cloture;2014/08;30021908;364269;310,46;;2394;3. PHARMA;APOT RUTH DE RAS BVBA;;;R P;0032/54568580;0032/54567283;1. Trop peu - faire suivre;Picking;Produit;1. Trop peu - faire suivrePickingProduit;BRIGITTE PELGRIMS;FURTERER;ELECTRONIQUE;514941;F-ASTERA FRESH SHP 200ML;6;;ADV;14/08/14;Cde +/- et refact T1 des produits livr_ en trop;13/08/14;Transp;14/08/14;Demande enlèvement transporteur;13/08/14;26/08/14;;;PAS RECU  COR. CDE -  RECU A LA PLACE 6 SH FORTICEA A FACTURER;;0030022266-1 -  0030022267-1;4. Nvlle cmde + NC;;;;;
2492;12/08/14;ENZA;13/08/14;ENZA;13/08/14;ENZA;cloture;2014/08;30021703;364121;258,67;;5975;3. PHARMA;PCIE LIBERT;;;L PH; ;0032/71321374;6. Erreur admin;Commercial;Erreur encodage;6. Erreur adminCommercialErreur encodage;ERIC SPELTINCKX;KLORANE;ELECTRONIQUE;PLUSIEURS;0;;;ADV;14/08/14;VOIR ACTION 2;13/08/14;ADV;15/08/14;Mise _ jour Fiche Client + NC T7 + Nvlle cmde T3;13/08/14;15/08/14;;;MANQUE REMISE SUR 3 LIGNE DE CDE;0030022269-7;0030022271-3;11. NC + refac;;;;;
2493;30/06/14;ENZA;13/08/14;ENZA;13/08/14;ENZA;cloture;2014/06;30018332;361367;1.034,10;1.034,10;2590;2. MEDICAL;CLINIQUE UNIV. ST-LUC;;;C PH; ;0032/27643661;6. Erreur admin;ADV;Erreur s_lection client;6. Erreur adminADVErreur s_lection client;GROSSISTE;N/A;MAUREEN;518151;P-DEXERYL CR 250GR BEL;270;;ADV;14/08/14;VOIR ACTION 2;13/08/14;ADV;15/08/14;Mise _ jour Fiche Client + NC T7 + Nvlle cmde T3;13/08/14;15/08/14;;;CLIENT DE FACTURATION PAS CORRECT NC + REFACT;0040001849-7;0030022272-3;11. NC + refac;;;;;
2494;12/08/14;ENZA;13/08/14;ENZA;31/10/14;ENZA;cloture;2014/08;30022017;364323;571,9;571,9;900001;3. PHARMA;MULTIPHARMA 001;;201400473;M PH;0; ;6. Erreur admin;ADV;Erreur s_lection client;6. Erreur adminADVErreur s_lection client;GROSSISTE;N/A;AMINA;PLUSIEURS;PLUSIEURS;;;ADV;14/08/14;VOIR ACTION 2;13/08/14;ADV;15/08/14;Mise _ jour Fiche Client + NC T7 + Nvlle cmde T3;31/10/14;15/08/14;;4/sep;PAS CDE - CDE POUR PHARMA SANTE RETOUR + NC + REENCODE POUR BON CL;0040002727-8;;11. NC + refac;;;;;
2495;28/07/14;ENZA;13/08/14;ENZA;9/10/14;AUDREY;cloture;2014/07;30021224;363339;265,12;27,44;343023;3. PHARMA;PCIE POP. DE VERVIERS (HANIN);;201400474;V PH;0; ;4. Excès - Cr_diter - enlevement;Commercial;Erreur encodage;4. Excès - Cr_diter - enlevementCommercialErreur encodage;ANNA SECCHI;AVENE;ELECTRONIQUE;515210;A-ELUAGE CONC 15ML;2;;ADV;14/08/14;Facturation des produits livr_s en trop T1;13/08/14;Transp;14/08/14;Demande enlèvement transporteur;;26/08/14;;;PAS CDE RETOUR + NC - CL CDE ELUAGE CONTOUR YEUX;40002340;30022273-1;13. NC voir retour stock;;;;;
2496;25/07/14;ENZA;14/08/14;ENZA;31/10/14;ENZA;cloture;2014/07;30021434;363234;2.079,45;723,49;1076;3. PHARMA;GROUPE MULTIPHARMA;;201400476;M GRO;0; ;1. Trop peu - faire suivre;ADV;Erreur encodage;1. Trop peu - faire suivreADVErreur encodage;GROSSISTE;N/A;FLOR;523106;K-SHP MANGUE 200ML;180;;ADV;15/08/14;Nvlle cmde T1 ;14/08/14;Transp;15/08/14;Demande enlèvement transporteur + NC T8 ou destruction (MF);;27/08/14;;4/sep;CDE SH MANGUE 400 ML - RECU 200 ML RETOUR + NC + COR. CDE;0040002719-8;;8. Nvlle cmde ;;;;;
2497;30/07/14;ENZA;14/08/14;ENZA;;;100;2014/07;30021444;363554;9.695,40;1.348,16;1076;3. PHARMA;GROUPE MULTIPHARMA;;201400477;M GRO;0; ;4. Excès - Cr_diter - enlevement;Picking;Erreur de produit;4. Excès - Cr_diter - enlevementPickingErreur de produit;GROSSISTE;N/A;FLOR;PLUSIEURS;PLUSIEURS;221;;ADV;15/08/14;Facturation des produits livr_s en trop T1;14/08/14;Transp;15/08/14;Demande enlèvement transporteur;;27/08/14;;4/09/14;MANQ 9 X PR CLEAN CR LAV NC-RECU ANC CNK POUR CLEAN GEL ET CC GEL-RET CC GEL OK NC - CLEAN GEL PAS RECU DE RET ?;0040001859-8 / 0040002720-8;;13. NC voir retour stock;;;;;
2498;3/06/14;ENZA;14/08/14;ENZA;31/10/14;ENZA;cloture;2014/06;30017157;358888;26.734,16;550,44;1076;3. PHARMA;GROUPE MULTIPHARMA;;201400478;M GRO;0; ;4. Excès - Cr_diter - enlevement;ADV;Erreur encodage;4. Excès - Cr_diter - enlevementADVErreur encodage;GROSSISTE;N/A;STEPHANIE;PLUSIEURS;PLUSIEURS;84;;ADV;15/08/14;Facturation des produits livr_s en trop T1;14/08/14;Transp;15/08/14;Demande enlèvement transporteur;;27/08/14;;4/09/14;RECU 60 TRIXRERA BAUME 200 ML + 24 CC GEL NETT 200ML PAS CDE RETOUR + NC;0040002721-8;;13. NC voir retour stock;;;;;
2499;3/06/14;ENZA;14/08/14;ENZA;31/10/14;ENZA;cloture;2014/06;30017158;358889;2.049,95;1.055,76;1076;3. PHARMA;GROUPE MULTIPHARMA;;201400479;M GRO;0; ;4. Excès - Cr_diter - enlevement;ADV;Erreur encodage;4. Excès - Cr_diter - enlevementADVErreur encodage;GROSSISTE;N/A;STEPHANIE;512097;F-OKA AL MASQ 150ML;120;;ADV;15/08/14;Facturation des produits livr_s en trop T1;14/08/14;Transp;15/08/14;Demande enlèvement transporteur;;27/08/14;;4/09/14;RECU 120 OKARA MASQ AL 150 ML PAS CDE RETOUR + NC;0040002722-8;;13. NC voir retour stock;;;;;
2500;28/05/14;ENZA;14/08/14;ENZA;5/11/14;ENZA;cloture;2014/05;30016909;358139;5.018,87;319,66;3450;3. PHARMA;EPC SA;RET21572;201400482;E GRO;0; ;4. Excès - Cr_diter - enlevement;ADV;Erreur encodage;4. Excès - Cr_diter - enlevementADVErreur encodage;GROSSISTE;N/A;STEPHANIE;PLUSIEURS;PLUSIEURS;33;;ADV;15/08/14;Facturation des produits livr_s en trop T1;14/08/14;Transp;15/08/14;Demande enlèvement transporteur;5/11/14;27/08/14;;1/sep;RECU 3 X SENSIPH MASQ + 30 ANACAPS TRIACTIV 30CAPS PAS CDE ;0040002818-8;;13. NC voir retour stock;;;;;
2501;10/07/14;ENZA;14/08/14;ENZA;9/10/14;AUDREY;cloture;2014/07;30021490;363586;1.898,28;30,38;3450;3. PHARMA;EPC SA;RET 21761 - RET 21762;201400483;E GRO;0; ;1. Trop peu - faire suivre;Picking;Produit;1. Trop peu - faire suivrePickingProduit;GROSSISTE;N/A;FLOR;PLUSIEURS;PLUSIEURS;;;ADV;15/08/14;Cde +/- et refact T1 des produits livr_ en trop;14/08/14;Transp;15/08/14;Demande enlèvement transporteur;;27/08/14;;;MANQUE 6 GEL DOUCH EVEIL MAT + 9 PTJ SP DEMEL + RETOUR 6 CR J GRENAD ;40002341;0030022327-1;4. Nvlle cmde + NC;;;;;
2502;10/07/14;ENZA;14/08/14;ENZA;28/10/14;ENZA;cloture;2014/07;PERIMES;;;;3450;3. PHARMA;EPC SA;RET21689;201400484;E GRO;0; ;5. P_rim_s;Commercial;Demande de NC;5. P_rim_sCommercialDemande de NC;GROSSISTE;N/A;;PLUSIEURS;PLUSIEURS;;;ADV;15/08/14;VOIR ACTION 2;14/08/14;ADV;16/08/14;Etablir NC T8 entrepot 17;28/10/14;16/08/14;;4/sep;DEMANDE RETOUR PERIMES AVENE ACCORD SBO // NC ACCORD CB voir retour 201400481;0040002708-7;;2. NC sans r_int_gration;;;;;
2503;23/07/14;ENZA;14/08/14;ENZA;5/11/14;ENZA;cloture;2014/07;30019411-4;362675;1.159,49;593,45;3450;3. PHARMA;EPC SA;RET21740 - RET21741;201400485;E GRO;0; ;4. Excès - Cr_diter - enlevement;Picking;Erreur de produit;4. Excès - Cr_diter - enlevementPickingErreur de produit;GROSSISTE;N/A;MAUREEN;517050;D-DIASEPT SPR 125ML;112;;ADV;15/08/14;Facturation des produits livr_s en trop T1;14/08/14;Transp;15/08/14;Demande enlèvement transporteur;5/11/14;27/08/14;5/11/14;1/09/14;MANQUE 112 DIASEPTYL SP - RECU 110 CYTELIUM A LA PLACE - RET + NC + COR. CDE;0040002819-8;0030022328-1 / 30023404-1;13. NC voir retour stock;;;;;
2504;1/08/14;ENZA;14/08/14;ENZA;14/08/14;ENZA;cloture;2014/08;30021489;363898;5.652,43;21,76;3450;3. PHARMA;EPC SA;RET21776;;E GRO;0032/83231351;0032/83231211;2. Trop peu - Cr_diter;Picking;Erreur produit;2. Trop peu - Cr_diterPickingErreur produit;GROSSISTE;N/A;FLOR;511102;A-MOUSSE A RASER 200ML;4;;ADV;15/08/14;VOIR ACTION 2;14/08/14;Transp;15/08/14;Demande enlèvement transporteur + NC T8 ou destruction (MF);14/08/14;27/08/14;;;MANQUE 4 X MOUSSE A RASER - NC;0040001861-8;;4. Nvlle cmde + NC;;;;;
2505;19/03/14;ENZA;14/08/14;ENZA;11/09/14;JONATHAN;cloture;2014/03;50000209;348492;1.262,16;62,6;5298;2;PCIE DE WARSAGE;;201400486;D PH;0; ;4. Excès - Cr_diter - enlevement;Commercial;Erreur encodage;4. Excès - Cr_diter - enlevementCommercialErreur encodage;ANNA SECCHI;AVENE;ELECTRONIQUE;516882;A-SPR ETA 300ML+50 KDO###;12;;ADV;15/08/14;Facturation des produits livr_s en trop T1;19/08/14;Transp;15/08/14;Demande enlèvement transporteur;;27/08/14;;4/sep;RECU SP ETA 300 ML + KDO PAS CDE RETOUR + NC;;;13. NC voir retour stock;;;;;
2506;24/04/14;ENZA;14/08/14;ENZA;9/10/14;AUDREY;cloture;2014/04;30006748;352705;9,94;9,94;5298;3. PHARMA;PCIE DE WARSAGE;;201400487;D PH;0; ;4. Excès - Cr_diter - enlevement;Commercial;Erreur encodage;4. Excès - Cr_diter - enlevementCommercialErreur encodage;ANNA SECCHI;AVENE;ELECTRONIQUE;511367;A-SAR FORT CONCENTRE 30ML;1;;ADV;15/08/14;Facturation des produits livr_s en trop T1;19/08/14;Transp;15/08/14;Demande enlèvement transporteur;;27/08/14;;;RECU RAL TROP TARD RETOUR + NC;40002342;;13. NC voir retour stock;;;;;
2507;24/04/14;ENZA;14/08/14;ENZA;9/10/14;AUDREY;cloture;2014/04;60001191;352708;128,08;128,08;5298;3. PHARMA;PCIE DE WARSAGE;;201400488;D PH;0; ;4. Excès - Cr_diter - enlevement;Commercial;Erreur encodage;4. Excès - Cr_diter - enlevementCommercialErreur encodage;FABIENNE MALIGE;DUCRAY - A-DERMA;ELECTRONIQUE;PLUSIEURS;PLUSIEURS;31;;ADV;15/08/14;Facturation des produits livr_s en trop T1;19/08/14;Transp;15/08/14;Demande enlèvement transporteur;;27/08/14;;;RECU DOUBLE PREV  RETOUR + NC;40002346;;13. NC voir retour stock;;;;;
2508;14/08/14;AMINA;14/08/14;AMINA;14/08/14;AMINA;cloture;2014/08;;;0;0;10065;3. PHARMA;APOT HILDE NYS;;201400480;H APO; ;0032/92253533;5. P_rim_s;Commercial;Demande de reprise;5. P_rim_sCommercialDemande de reprise;LAURE-ANNE VAN HEUVERSWYN;KLORANE;ARIANE;PLUSIEURS;0;;;Transp;15/08/14;Demande enlèvement transporteur;15/08/14;ADV;15/08/14;Etablir NC T8 entrepot 17;;27/08/14;;;;;;2. NC sans r_int_gration;;;;;
2509;20/06/14;ENZA;19/08/14;ENZA;18/09/14;IMAN;cloture;2014/06;50004721-4 / 30013480-4;;107,76;;3090;1;PHARMA BELGIUM SA - BRUXELLES;;201400489;P GRO;0; ;1. Trop peu - faire suivre;Picking;Produit;1. Trop peu - faire suivrePickingProduit;GROSSISTE;N/A;ARIANE;PLUSIEURS;PLUSIEURS;22;;ADV;20/08/14;Cde +/- et refact T1 des produits livr_ en trop;19/08/14;Transp;20/08/14;Demande enlèvement transporteur;;1/09/14;;4/sep;CLIENT RECU AUTRES PRODUITS QUE SUR LA NE RETOUR + NC + COR.CDE;40002112;0030022458-1;4. Nvlle cmde + NC;;;;;
2510;20/08/14;ENZA;20/08/14;ENZA;18/09/14;IMAN;cloture;2014/08;30016628-4;364588;87,91;87,91;200057;2;PCIE COUR D'HAINE (LLOYDS);;201400490;C PH;0; ;4. Excès - Cr_diter - enlevement;Commercial;Erreur client;4. Excès - Cr_diter - enlevementCommercialErreur client;REGINE BOUSSON;DUCRAY - A-DERMA;ELECTRONIQUE;PLUSIEURS;PLUSIEURS;33;;ADV;21/08/14;Facturation des produits livr_s en trop T1;20/08/14;Transp;21/08/14;Demande enlèvement transporteur;;2/09/14;;4/sep;CLIENT RECU RAL SUR DIASEPTYL - DOUBLE EMPLOI AVEC PREV-RETOUR +NC;40002111;;13. NC voir retour stock;;;;;
2511;10/07/14;ENZA;20/08/14;ENZA;26/09/14;IMAN;cloture;2014/07;30020247;362136;330,05;330,05;3110;3. PHARMA;APOT DESCAMPS NV;;201400491;D PH;0; ;4. Excès - Cr_diter - enlevement;Commercial;Erreur encodage;4. Excès - Cr_diter - enlevementCommercialErreur encodage;JAN DEBURCHGRAEVE;DUCRAY - A-DERMA;ELECTRONIQUE;PLUSIEURS;PLUSIEURS;;;ADV;21/08/14;Facturation des produits livr_s en trop T1;20/08/14;Transp;21/08/14;Demande enlèvement transporteur;;2/09/14;;17/sep;CLIENT RECU CDE PAS POUR LUI;40002194;;13. NC voir retour stock;;;;;
2512;12/08/14;ENZA;20/08/14;ENZA;20/08/14;ENZA;cloture;2014/08;30022056;364371;532,26;;1749;3. PHARMA;PCIE LAMBAUX;;;L PH;.;0032/19513049;1. Trop peu - faire suivre;Picking;Produit;1. Trop peu - faire suivrePickingProduit;THIERRY DELHALLE;DUCRAY - A-DERMA;ELECTRONIQUE;516263;D-EXTRA DX SHP ECOFL400;2;;ADV;21/08/14;Cde +/- et refact T1 des produits livr_ en trop;20/08/14;Transp;21/08/14;Demande enlèvement transporteur;20/08/14;2/09/14;;;MANCO 2 PCS - ENVOYER;;0030022528-1;4. Nvlle cmde + NC;;;;;
2513;20/06/14;ENZA;20/08/14;ENZA;20/08/14;ENZA;cloture;2014/06;80000267;360182;75,61;75,61;10075;3. PHARMA;SANTE ET BEAUTE;;;S PH; ;00352/621156600;6. Erreur admin;Commercial;Erreur encodage;6. Erreur adminCommercialErreur encodage;ERIC SPELTINCKX;KLORANE;ELECTRONIQUE;PLUSIEURS;0;12;;ADV;21/08/14;VOIR ACTION 2;20/08/14;ADV;22/08/14;Mise _ jour Fiche Client + NC T7 + Nvlle cmde T3;;22/08/14;;;CLIENT DEFINITIVEMENT BLOQUE - PARA PH  FERMEE;0040001865-8;;11. NC + refac;;;;;
2514;20/08/14;AMINA;20/08/14;AMINA;20/08/14;AMINA;cloture;2014/08;30021780;363927;15,42;15,42;5082;3. PHARMA;PCIE SCHROEDER-SCHLESSER C.;;;;00352/26581159;00352/26581158;1. Trop peu - faire suivre;Transport;Cde entière;1. Trop peu - faire suivreTransportCde entière;ANNA SECCHI;AVENE;AUDREY;514949;A-CLEAN EAU NETT 400ML;2;;Transp;21/08/14;V_rification sur le site + mail;;Transp;;;;;;;MANCO 2 PIECES DE RECTIF - DüJ” VERIF SUR COMPTE TRANSPORT - ;;0030022527-1;7. Commande _ 100%;;;;;
2515;20/08/14;AMINA;20/08/14;AMINA;20/08/14;AMINA;cloture;2014/08;30021508;363557;154,44;17,28;1276;3. PHARMA;ESPIDEC BVBA;;;;0032/23600757;0032/23581736;1. Trop peu - faire suivre;Transport;Colis manquant;1. Trop peu - faire suivreTransportColis manquant;THOMAS CISTRIANI;FURTERER;ELECTRONIQUE;643324;F-CARTH MASQ DOUC 100ML;2;;Transp;21/08/14;V_rification sur le site + mail;;ADV;22/08/14;Colis localis_ - relivraison / perdu - NC T7 + T1;;;;;;;0030022526-1;7. Commande _ 100%;;;;;
2516;4/08/14;ENZA;20/08/14;ENZA;26/09/14;IMAN;cloture;2014/08;30021637;363888;405,87;45,76;3078;3. PHARMA;PHARMA GOEDERT;S140700830;201400493;P GRO;0; ;4. Excès - Cr_diter - enlevement;ADV;Erreur encodage;4. Excès - Cr_diter - enlevementADVErreur encodage;GROSSISTE;N/A;FLOR;512375;F-CARTH SHP 50ML;20;;ADV;21/08/14;Facturation des produits livr_s en trop T1;20/08/14;Transp;21/08/14;Demande enlèvement transporteur;;2/09/14;;17/sep;RECU SH CARTHME RF PAS CDE;40001293;;13. NC voir retour stock;;;;;
